adult,ear,deaf
adult,ear,human
adult,ear,sympathetic
adult,foot,high
adult,hair,black
adult,hair,short
adult,hand,human
adult,hand,strong
adult,jacket,black
adult,jacket,short
adult,leg,affected
adult,leg,injured
advertisement,letter,blue
advertisement,letter,circular
advertisement,letter,long
advertisement,letter,private
aeroplane,cockpit,open
aeroplane,cockpit,red
aeroplane,cockpit,tiny
aeroplane,wing,white
air,cloud,black
air,cloud,dark
air,cloud,dense
air,cloud,thick
aircraft,cockpit,clear
aircraft,cockpit,cramped
aircraft,cockpit,forward
aircraft,cockpit,open
aircraft,cockpit,red
aircraft,cockpit,tiny
aircraft,cockpit,vertical
aircraft,door,heavy
aircraft,door,white
aircraft,door,wooden
aircraft,engine,old
aircraft,engine,powerful
aircraft,engine,stationary
aircraft,gear,protective
aircraft,gear,white
aircraft,nose,broken
aircraft,nose,long
aircraft,nose,red
aircraft,propeller,black
aircraft,propeller,broken
aircraft,propeller,long
aircraft,propeller,wooden
aircraft,shadow,black
aircraft,shadow,long
aircraft,stripe,white
aircraft,tail,long
aircraft,tail,short
aircraft,tail,straight
aircraft,tire,black
aircraft,tire,old
aircraft,wheel,black
aircraft,wheel,spare
aircraft,window,broken
aircraft,window,clean
aircraft,window,high
aircraft,window,open
aircraft,wing,broken
aircraft,wing,white
airplane,back,broad
airplane,back,dead
airplane,back,high
airplane,back,low
airplane,back,plastic
airplane,back,red
airplane,back,wooden
airplane,body,blue
airplane,body,dark
airplane,body,foreign
airplane,bottom,black
airplane,cloud,black
airplane,cloud,dark
airplane,cockpit,cramped
airplane,cockpit,open
airplane,cockpit,red
airplane,cockpit,tiny
airplane,door,heavy
airplane,door,white
airplane,door,wooden
airplane,end,free
airplane,end,latter
airplane,end,red
airplane,engine,old
airplane,engine,powerful
airplane,engine,stationary
airplane,engine,yellow
airplane,fin,red
airplane,flag,british
airplane,flap,free
airplane,front,broad
airplane,front,russian
airplane,fuselage,long
airplane,fuselage,red
airplane,gear,dark
airplane,gear,white
airplane,hatch,open
airplane,jet,black
